      1 Eulyplotiphla
      1 Microbiotheria
      1 Order
      1 Tubulidentata
      2 Dermoptera
      2 Notoryctemorphia
      2 Proboscidea
      4 Sirenia
      5 Hyracoidea
      5 Monotremata
      6 Paucituberculata
      8 Pholidota
     10 Pilosa
     16 Perissodactyla
     17 Macroscelidea
     19 Peramelemorphia
     20 Scandentia
     21 Cingulata
     54 Afrosoricida
     73 Dasyuromorphia
     92 Lagomorpha
     99 Didelphimorphia
    139 Diprotodontia
    280 Carnivora
    325 Cetartiodactyla
    418 Primates
    442 Eulipotyphla
   1144 Chiroptera
   2220 Rodentia
